pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_ADIPOGENESIS	0.000490336212605588	0.00245168106302794	0.477270815362862	-0.304268564195944	-1.53462916100537	161	CAVIN1 DLAT ECHS1 GBE1 ESYT1 STAT5A STOM CS COQ5 DLD SLC5A6 SAMM50 LTC4S FAH SOD1 QDPR COQ3 SUCLG1 CYC1 HADH MRPL15 GADD45A NDUFAB1 JAGN1 ACADS DNAJC15 SDHC COX6A1 CPT2 RMDN3 HIBCH CMPK1 ACAA2 ME1 PEMT DBT CMBL DGAT1 ACOX1 CAVIN2 RAB34 MDH2 TALDO1 PHYH ECH1 PFKL BCKDHA NDUFA5 DDT LPCAT3 ATP1B3 GPAM YWHAG ETFB MAP4K3 ACADM PRDX3 SLC25A1 ANGPT1 MTCH2 ELOVL6 ADCY6
HALLMARK_ALLOGRAFT_REJECTION	0.797829036635007	0.88647670737223	0.0382416816260774	0.192664492532896	0.844862517386112	125	EIF3A BCL10 EIF4G3 CCL5 FLNA LYN BCL3 FYB1 ICAM1 CSK IRF7 BRCA1 IKBKB MTIF2 ITGAL SRGN PRKCB IL16 CTSS FGR IRF8 TLR1 NLRP3 ST8SIA4 CCR1 CD86 SPI1 TLR2 RIPK2 CAPG LCP2 WARS1 IL4R IFNAR2 HLA-A MAP4K1 WAS GPR65 IL1B CD74 PTPN6 GBP2 LY86 AKT1 CD3E ITGB2 CD4 TAPBP
HALLMARK_ANDROGEN_RESPONSE	0.0213526460469884	0.0628019001382012	0.352487857583619	-0.317023370541505	-1.41102520632967	74	KRT8 LMAN1 XRCC6 FKBP5 SORD ABCC4 UBE2I PA2G4 TSC22D1 UAP1 PGM3 RAB4A DBI XRCC5 TPD52 APPBP2 DHCR24 ELOVL5 GPD1L SPCS3 SRP19 SCD ABHD2 FADS1 SLC26A2 HERC3 RPS6KA3 SMS CDK6
HALLMARK_ANGIOGENESIS	0.990875912408759	0.997175141242938	0.0419081748591401	0.191502972403138	0.48234552957777	10	VEGFA VAV2 LRPAP1 TIMP1 S100A4
HALLMARK_APICAL_JUNCTION	0.140252454417952	0.259726767440652	0.137250779610133	0.281753700856111	1.20494895173753	103	TAOK2 NF2 MYH9 ACTN4 PKD1 TRAF1 NECTIN1 EPB41L2 FYB1 ICAM1 TSC1 MAP4K2 SORBS3 GTF2F1 INPPL1 ACTN1 AKT2 SRC DHX16 EVL ZYX SIRPA PECAM1 MAP3K20 CD86 CAP1 CTNNA1 SYMPK NF1 VASP VAV2 SYK INSIG1 EXOC4 THBS3 RHOF ADAM9 SHC1 GNAI2
HALLMARK_APICAL_SURFACE	0.000352567547079776	0.00195870859488764	0.49849310876659	0.698785654317772	2.02309509885726	16	NCOA6 HSPB1 CROCC FLOT2 PLAUR LYN SULF2 BRCA1 CRYBG1
HALLMARK_APOPTOSIS	0.373134328358209	0.533049040511727	0.0741758965588009	0.237400810489269	1.04103793980212	125	CREBBP IRF1 SPTAN1 BCL10 PPP2R5B ROCK1 HSPB1 JUN DNAJA1 RELA ETF1 TOP2A BID NEDD9 CDC25B RARA PLCB2 PAK1 BRCA1 TNFSF10 DDIT3 CASP8 HMGB2 LMNA CFLAR RHOT2 CD44 SOD2 WEE1
HALLMARK_BILE_ACID_METABOLISM	9.41835205389684e-05	0.000672739432421203	0.538434096309916	-0.462078426925679	-1.96126463442221	57	MLYCD ABCD3 SLC27A5 AMACR EFHC1 PFKM SLC35B2 SOD1 SLC27A2 PEX6 CROT HACL1 NUDT12 PEX26 FDXR ISOC1 DHCR24 IDH2 GNPAT PXMP2 PEX7 HSD17B11 FADS1 PEX11G PEX11A PHYH PRDX5 SLC29A1 PEX13 ACSL5
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.709039548022599	0.824464590723952	0.0789209638180035	-0.200669087397635	-0.867212862591719	61	PMVK FDFT1 ETHE1 FABP5 ACAT2 TM7SF2 TP53INP1 SQLE CHKA SCD ALDOC LGMN SC5D MVK GSTM2 ECH1 ACTG1 NSDHL PCYT2 FDPS IDI1 GNAI1 EBP TMEM97
HALLMARK_COAGULATION	0.997175141242938	0.997175141242938	0.0618406035753285	-0.135098445882249	-0.560727214400594	52	SPARC PEF1 SERPINE1 P2RY1
